domain,phylum,class,order,family,genus,species,acronym,exists_in_registry,gram_stain,microorganism_code,microorganism_name
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,subtilis ,BACI_SUBTIL,False,p,Bacillus subtilis ,Bacillus subtilis 
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,dorei/vulgatus,BACT_DORE,False,n,Bacteroides dorei/vulgatus,Bacteroides dorei/vulgatus
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis group,BACT_FRAGI,False,n,Bacteroides fragilis group,Bacteroides fragilis group
,,,,,Beta,streptococcus group a,B_S_G_A,False,,Beta streptococcus group a,Beta streptococcus group a
,,,,,Beta,streptococcus group b,B_S_G_B,False,,Beta streptococcus group b,Beta streptococcus group b
,,,,,Beta,streptococcus group c,B_S_G_C,False,,Beta streptococcus group c,Beta streptococcus group c
,,,,,Beta,streptococcus group g,B_S_G_G,False,,Beta streptococcus group g,Beta streptococcus group g
Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,longum,BIFI_LONG,True,,Bifidobacterium longum,Bifidobacterium longum
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,vesicularis,BREV_VESI,True,,Brevundimonas vesicularis,Brevundimonas vesicularis
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cepacia,BURK_CEPA,True,n,Burkholderia cepacia,Burkholderia cepacia
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cepacia group,BURK_CEPAC,False,,Burkholderia cepacia group,Burkholderia cepacia group
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,species,BURK_SPEC,False,,Burkholderia species,Burkholderia species
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,xenovorans,BURK_XENO,False,,Burkholderia xenovorans,Burkholderia xenovorans
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus,CAMP_UREO,True,n,Campylobacter ureolyticus,Campylobacter ureolyticus
,,,,,Cancelled,,CANCELLED,False,,Cancelled,Cancelled
,,,,,Candida,"albicans, presumptive identification",C_A_P_I,False,,"Candida albicans, presumptive identification","Candida albicans, presumptive identification"
Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,hominis,CARD_HOMI,True,n,Cardiobacterium hominis,Cardiobacterium hominis
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,indologenes,CHRY_INDO,True,,Chryseobacterium indologenes,Chryseobacterium indologenes
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,amalonaticus,CITR_AMAL,True,,Citrobacter amalonaticus,Citrobacter amalonaticus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,freundii complex,CITR_FREUN,False,,Citrobacter freundii complex,Citrobacter freundii complex
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,koseri,CITR_KOSE,True,,Citrobacter koseri,Citrobacter koseri
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,sedlakii,CITR_SEDL,True,,Citrobacter sedlakii,Citrobacter sedlakii
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,species,CITR_SPEC,False,,Citrobacter species,Citrobacter species
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,youngae,CITR_YOUN,True,,Citrobacter youngae,Citrobacter youngae
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium,difficile,CLOS_DIFFIC,False,p,Clostridium difficile,Clostridium difficile
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium,perfringens,CLOS_PERF,True,p,Clostridium perfringens,Clostridium perfringens
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium,ramosum,CLOS_RAMO,True,p,Clostridium ramosum,Clostridium ramosum
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium,saudiense,CLOS_SAUD,True,p,Clostridium saudiense,Clostridium saudiense
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium,septicum,CLOS_SEPT,True,p,Clostridium septicum,Clostridium septicum
Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Natronincolaceae,Clostridium,tertium,CLOS_TERT,True,p,Clostridium tertium,Clostridium tertium
Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,accolans (cdc group 6),C_A_(_G_6,False,p,Corynebacterium accolans (cdc group 6),Corynebacterium accolans (cdc group 6)
Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,glucuronolyticum,CORY_GLUC,True,p,Corynebacterium glucuronolyticum,Corynebacterium glucuronolyticum
Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,jeikeium (c.d.c. group jk),C_J_(_G_J,False,p,Corynebacterium jeikeium (c.d.c. group jk),Corynebacterium jeikeium (c.d.c. group jk)
