genus,species,gram_stain
Fervidobacterium,islandicum,p
Fimbriimonas,ginsengisoli,n
Flavobacterium,akiainvivens,n
Flavobacterium,,n
Fodinibacter,luteus,p
Fodinibacter,,p
Fusobacterium,necrophorum,n
Fusobacterium,nucleatum,n
Fusobacterium,polymorphum,n
Fusobacterium,,n
Gemella,,p
Georgenia,ruanii,p
Gluconacetobacter,diazotrophicus,n
Granulicatella,adiacens,p
Haemophilus,felis,n
Haemophilus,haemolyticus,n
Haemophilus,influenzae,n
Haemophilus,pittmaniae,n
Haemophilus,,n
Hafnia,,n
Hafniaceae,,n
Helicobacter,bizzozeronii,n
Helicobacter,cetorum,n
Helicobacter,heilmannii s.s,n
Helicobacter,heilmannii sensu lato,n
Helicobacter,salomonis,n
Helicobacter,suis,n
Helicobacter,typhlonius,n
Helicobacter,,n
Humibacillus,,p
Intrasporangium,,p
Janibacter,,p
Kingella,kingae,n
Klebsiella,huaxiensis,n
Klebsiella,oxytoca,n
Klebsiella,pneumoniae,n
Klebsiella,,n
Kluyvera,ascorbata,n
Kluyvera,cryocrescens,n
Kluyvera,,n
Knoellia,aerolata,p
Knoellia,flava,p
Knoellia,locipacati,p
Knoellia,remsis,p
Knoellia,sinensis,p
Knoellia,subterranea,p
Knoellia,,p
Kozakia,baliensis,n
Kribbia,dieselivorans,p
Kribbia,,p
Kyrpidia,spormannii,p
Kyrpidia,tusciae,p
Lactic,acid bacteria,p
Lactobacillus,acidophilus,p
Lactobacillus,buchneri,p
Lactobacillus,casei,p
Lactobacillus,plantarum,p
Lactobacillus,rhamnosus,p
Lactobacillus,,p
Lactococcus,lactis,p
Lapillicoccus,jejuensis,p
Lapillicoccus,,p
Legionella,clemsonensis,n
Legionella,pneumophila,n
Legionella,,n
Leptonema,illini,n
Leptotrichia,buccalis,n
Leuconostoc,,p
Levilinea,saccharolytica,n
Limosilactobacillus,,p
Listeria,monocytogenes,p
Listeria,,p
Listeriaceae,,p
Luteimonas,aestuarii,n
Luteimonas,aquatica,n
Luteimonas,composti,n
Luteimonas,lutimaris,n
Luteimonas,marina,n
Luteimonas,mephitis,n
Luteimonas,vadosa,n
Marihabitans,asiaticum,p
Marihabitans,,p
Mariniflexile,,n
Megamonas,,n
Megasphaera,,n
Meiothermus,timidus,n
Meiothermus,,n
Methylobacterium,fujisawaense,n
Methylomirabilis,oxyfera,n
Microbacterium,,p
Microbispora,corallina,p
Micrococcus,,p
Morax-Axenfeld,diplobacilli,n
Moraxella,bovis,n
Moraxella,osloensis,n
Moraxella,,n
Morganella,morganii,n
Morganellaceae,,n
Mycoplasma,spumans,n
Neisseria,cinerea,n
Neisseria,flavescens,n
Neisseria,gonorrhoeae,n
Neisseria,meningitidis,n
Neisseria,polysaccharea,n
Neisseria,sicca,n
Neisseria,,n
Nitrosomonas,eutropha,n
Nitrosomonas,halophila,n
Nitrosomonas,stercoris,n
Nocardia,asteroides,p
Nocardia,brasiliensis,p
Nocardia,farcinica,p
Nocardia,ignorata,p
Nocardia,,p
Nocardioidaceae,,p
Ochrobactrum,,n
Oligoflexia,,n
Ompdb,,n
Ornithinibacter,aureus,p
Ornithinibacter,,p
Pantoea,,n
Pasteurella,,n
Pasteuria,,p
Pectinatus,,n
Pectobacteriaceae,,n
Pelosinus,,n
Peptostreptococcus,anaerobius,p
Phycicoccus,,p
Pilibacter,,p
Plesiomonas,shigelloides,n
Pontiac,fever,n
Prevotella,,n
Propionibacterium,acnes,p
Propionibacterium,freudenreichii,p
Propionibacterium,,p
Propionispora,,n
Proteobacteria,,n
Proteus,mirabilis,n
Proteus,penneri,n
Proteus,vulgaris,n
Proteus,,n
Providencia,,n
Pseudomonas,aeruginosa,n
Pseudomonas,genome database,n
Pseudomonas,luteola,n
Pseudomonas,orizyhabitans,n
Pseudomonas,teessidea,n
Pseudomonas,,n
Pseudoxanthomonas,broegbernensis,n
Pseudoxanthomonas,japonensis,n
Raoultella,,n
Rathayibacter,toxicus,p
Rhizobium,radiobacter,n
Rhizobium,,n
Rhodococcus,equi,p
Rhodococcus,,p
Rickettsia,parkeri,n
Rickettsia,rickettsii,n
Roseburia,,p
Rothia,dentocariosa,p
Rothia,,p
Salinibacter,ruber,n
Salmonella,bongori,n
Salmonella,enterica,n
Salmonella,,n
Samsonia,,n
Sarcina,aurantiaca,p
Sarcina,lutea,p
Sarcina,maxima,p
Sarcina,troglodytae,p
Sarcina,ventriculi,p
Selenomonadales,,n
Serratia,liquifaciens,n
Serratia,marcescens,n
Serratia,,n
Shigella,flexneri,n
Shigella,sonnei,n
Shigella,,n
Shimwellia,,n
Solibacillus,,p
Solobacterium,moorei,n
Sorangium,cellulosum,n
Sphaerotilus,natans,n
Sphingobacterium,olei,n
Sphingomonas,gei,n
Sphingomonas,,n
Sphingosinicella,humi,n
