organismCode,antibioticCode,freq
ECOL,AGEN,1
ABAU,AAMO,1
CKEF,AAMPH,1
CKRU,AAMPH,1
CNS,AAMI,1
CNS,AGEN,1
COLIF,AMER,1
CORYN,AAMI,1
BHSB,ACIP,1
KPNE,AAMO,1
A_HAFNIA S,AAMI,1
BCEP,AAUG,1
A_LACTOBAC,ACELX,1
A_LEUCONOS,AAMO,1
A_LRHAMNOSU,AAMO,1
PROTE,AAMPC,1
A_MBG,AAMO,1
A_MBG,ACIP,1
A_MBG,ACLI,1
PPUT,ACIP,1
A_MBG,ANIT,1
PMIR,AAMO,1
A_RAOULTEL,AAMI,1
CTRO,AAMPH,1
A_SBOVIS,AAUG,1
PAER,AAZT,1
PAER,AAUG,1
A_SBOVIS,ACIP,1
NGON,ACIX,1
NEISS,AAMI,1
MODO,AAMI,1
A_SVIRIDANS,AAUG,1
MICROC,AAUG,1
MICROC,AAMO,1
MCOL,ACOT,1
BACIL,AAUG,1
BACIL,ACIP,1
YEAST,AAUG,1
