organismCode,antibioticCode,freq
A_BREVUNDI,AAMI,2
BACTE,AAMO,2
A_CPARAPSIL,AAMPH,2
CAMPY,AAMI,2
A_CPSEUDODI,ACIP,2
CPER,AAMO,2
CAMPY,AAMO,2
ENTC,ALIN,2
GEM,ACLI,2
FNEC,AAUG,2
GTTN,AAMPH,2
CFET,ACIP,2
GHAEM,ACLI,2
BHSB,AERY,2
CFET,AAMI,2
YEAST,AAMPH,1
PRET,AAMI,1
PPUT,ACAZ,1
RMUC,AAMO,1
PROPI,AAUG,1
PMUL,AAMI,1
PMIR,AAMO,1
PORI,AAMI,1
QGPBA,AAMO,1
QGNBN,AMTZ,1
SAGA,AAMO,1
SDYSEQ,ACLI,1
RRAD,AAMO,1
SANG,AAMO,1
SORA,AAUG,1
SANG,AERY,1
PSEUD,AAZT,1
SAUR,AAUG,1
QGPBA,ACLI,1
SPNE,ALEV,1
SMIL,AERY,1
SALMO,AAZI,1
SAUR,ACONE,1
SPYO,AAMO,1
SAUR,AMUP,1
VEILL,AAUG,1
SAGA,ACHL,1
SCON,AAMO,1
PROPI,AMTZ,1
QGPBA,ACIP,1
QGPCN,AAMO,1
CORYN,AERY,1
PANTO,AAMO,1
A_NCINEREA,ACHL,1
A_FNUCLEATU,AAUG,1
A_FNUCLEATU,AMTZ,1
A_FUSOBACT,AAUG,1
A_GPBSIAB,ACIP,1
A_GPBSIPB,ACLI,1
A_GPC2,ACIP,1
A_GPCSIBB,ACLI,1
A_GPCSIBB,AERY,1
A_HAFNIA S,AAMO,1
A_ISOLATED,ACIP,1
A_ISOLATED,AMTZ,1
A_KKINGAE,AAUG,1
A_KPLANTICO,AAMI,1
A_LACTOBAC,AAMO,1
A_LACTOBAC,ACLI,1
A_LEUCONOS,AAMO,1
A_LISTERIA,ACIP,1
A_LPARACASE,AAMO,1
A_LWADEI,AAMI,1
A_MANAEROBE,AAUG,1
A_MANAEROBE,AMTZ,1
A_MFORTUITU,AAMI,1
A_MPEREGRIN,AAMI,1
A_EGERGOVIA,AAMI,1
A_EAVIUM,ACLI,1
A_CTESTOSTE,ACAZ,1
A_ACOCCUS,AAUG,1
ABAU,ATIG,1
ACHRO,ACAZ,1
ACINE,ACIP,1
ACINE,ACOT,1
AEROC,AAMO,1
AEROC,ACIP,1
AHS,ACTX,1
AHS,ATEI,1
AXYL,AAMO,1
A_ABIOTROP,ACLI,1
A_AGNB,AAUG,1
A_CMENINGOS,AAMI,1
A_AHAEMOLYT,ACIP,1
A_ANAEROBE,ACLI,1
A_ANAEROBE,ARIF,1
A_ASTREPTOC,AAUG,1
A_ASTREPTOC,AMTZ,1
A_BCIRCULAN,AAMO,1
A_BMELITENS,AAMI,1
A_BVESICULA,AAMI,1
A_CDUBLINIE,AAMPH,1
A_CGUILLIER,AAMPH,1
A_MYCOBACT,AAMI,1
A_OCHROBAC,AAMI,1
PANTO,AAMI,1
A_PALCALIGE,AAMI,1
CNS,ADAP,1
COLIF,AAZT,1
CTRO,AAMPH,1
DIPHT,AERY,1
EFAM,ACIP,1
EFAS,ACLI,1
ENTC,AGEN,1
ENTC,AVAN,1
HAEMO,AAUG,1
HPHA,AAMO,1
KLEBS,AERT,1
KLEBS,AMER,1
KLUYV,AAMI,1
LMON,AERY,1
MCAT,AAMI,1
MCAT,AAUG,1
MMOR,ACIP,1
NFLA,ACIP,1
NMEN,AAZT,1
NMEN,ACIP,1
NMEN,ACTX,1
PACN,AGEN,1
PAER,AAMO,1
CKRU,AAMPH,1
CJEJ,AAZI,1
CHAE,ACIP,1
A_YPSEUDOTU,AAMO,1
A_PASTEURE,AAMI,1
A_PLILACINU,AAND,1
A_PPROPIONI,ACIP,1
A_PREVOTEL,AAUG,1
A_PROVIDEN,AAMO,1
A_RHODOCOC,APEN,1
A_RPICKETTI,AAMI,1
A_SPA,AAMO,1
A_SPAUCIMOB,AAMI,1
A_SVESTIBUL,ACLI,1
BACIL,AVAN,1
CGLA,AFLUC,1
BACTE,ACLI,1
BACTE,AMER,1
BHSA,AERY,1
BHSCG,ACONE,1
BHSCG,AERY,1
BHSCG,APEN,1
BREVI,AGEN,1
BVUL,AMTZ,1
CAMA,AAMI,1
CBRA,AAMI,1
YEAST,ACAS,1
